State,District,Township,ElectionType,Candidate,Party,Votes,Election,AdvanceVote,Gender
South Shan State,Taunggyi,NyaungShwe1,Region/State,ဦးရေအေး,INDP,3709,2015,130,M
South Shan State,Taunggyi,NyaungShwe1,Region/State,ဦးမြင့်ဆွေ,USDP,11944,2015,670,M
South Shan State,Taunggyi,NyaungShwe1,Region/State,_noshow,,12287,2015,,
South Shan State,Taunggyi,NyaungShwe1,Region/State,ဦးထွန်းရင်,NLD,27839,2015,941,M
Yangon,Yangon,Yangon-Amyotha6,Amyotha,ဦးသန့်ဇော်,FUP,711,2015,46,M
Yangon,Yangon,Yangon-Amyotha6,Amyotha,ဦးတင်စိန်,KPP,1238,2015,114,M
Yangon,Yangon,Yangon-Amyotha6,Amyotha,_invalid,,2684,2015,,
Yangon,Yangon,Yangon-Amyotha6,Amyotha,ဒေါက်တာတင်ရွှေ,NDF,4604,2015,328,M
Yangon,Yangon,Yangon-Amyotha6,Amyotha,​ဒေါ်သင်းသင်းမိုး,USDP,25111,2015,2820,F
Yangon,Yangon,Yangon-Amyotha6,Amyotha,_noshow,,133299,2015,,
Yangon,Yangon,Yangon-Amyotha6,Amyotha,ဒေါက်တာအောင်သူ,NLD,182110,2015,9920,M
Rakhine State,Kyaukpyu,Ann,Pyithu,U Zaw Lin Aung,Independent,1877,2017,56,M
Rakhine State,Kyaukpyu,Ann,Pyithu,_invalid,,2365,2017,,
Rakhine State,Kyaukpyu,Ann,Pyithu,U Zaw Win Myint,NLD,9088,2017,450,M
Rakhine State,Kyaukpyu,Ann,Pyithu,U Thaung Nyein,USDP,11545,2017,1941,M
Rakhine State,Kyaukpyu,Ann,Pyithu,Dr.Aye Maung,ANP,21794,2017,1102,M
Rakhine State,Kyaukpyu,Ann,Pyithu,_noshow,,29159,2017,,
Bago,Bago,Bago-Amyotha4,Amyotha,Dr. Hla Moe,NDP,2516,2017,129,M
Bago,Bago,Bago-Amyotha4,Amyotha,U Min Thu,UFLFP,2550,2017,180,M
Bago,Bago,Bago-Amyotha4,Amyotha,U Sein Tun,NDF,4888,2017,257,M
Bago,Bago,Bago-Amyotha4,Amyotha,_invalid,,5227,2017,,
Bago,Bago,Bago-Amyotha4,Amyotha,U Aung Kyi Win,NUP,9183,2017,387,M
Bago,Bago,Bago-Amyotha4,Amyotha,U Htay Naing,USDP,33781,2017,2971,M
Bago,Bago,Bago-Amyotha4,Amyotha,Daw San San Myint,NLD,71042,2017,4736,F
Bago,Bago,Bago-Amyotha4,Amyotha,_noshow,,191151,2017,,
Mon State,Mawlamine,Chaungzon,Pyithu,_invalid,,1352,2017,,
Mon State,Mawlamine,Chaungzon,Pyithu,U Tint Wai,NUP,1992,2017,216,M
Mon State,Mawlamine,Chaungzon,Pyithu,U Naing Sein Mya Maung (aka) U Mya Maung,MNP,2013,2017,163,M
Mon State,Mawlamine,Chaungzon,Pyithu,U Win Htut (aka) U Mya Win,AMDP,10859,2017,680,M
Mon State,Mawlamine,Chaungzon,Pyithu,U Aye Win,NLD,12636,2017,1057,M
Mon State,Mawlamine,Chaungzon,Pyithu,U Aung Kyi Thein,USDP,19667,2017,2306,M
Mon State,Mawlamine,Chaungzon,Pyithu,_noshow,,77706,2017,,
